,Isolate_1,Isolate_2,Isolate_3,Isolate_4,Colony Count,cfu/ml,value,Day,ID,Qtr,Treatment,Fat,Protein,Lactose,SNF,MUN,SCC,BHB,Acetone,sccact,logscc,subclinical,Maxsq,Minsq,Avgesq,Maxpoly,Minpoly,Avgepoly,cohort,day_within_cohort,merged_ID,bac_type,gram_sp,logcfu,sq_delta,poly_delta
19,Staphylococcus aureus,Staphylococcus chromogenes,,,Colony Count: 3200 colony forming units/mL.,3200,,225,60302,LR,C,1.41,3.26,4.49,8.61,2.70571,59,0.29,0.01,59000,15.84842733402393,0,34.8,32.1,34.1,34.9,30.2,33.9,2,25,60302.0CLR,Contagious,Positive,3.5052856741441323,2.6999999999999957,2.6999999999999957
20,Staphylococcus aureus,Staphylococcus chromogenes,,,Colony Count: 3200 colony forming units/mL.,3200,,225,60302,RF,C,1.61,3.1,4.31,8.26,1.16337,440,0.26,0.0,440000,18.74714399818675,1,34.9,32.8,34.2,34.3,30.8,33.2,2,25,60302.0CRF,Contagious,Positive,3.5052856741441323,2.1000000000000014,2.1000000000000014
21,Staphylococcus aureus,Staphylococcus chromogenes,,,Colony Count: 3200 colony forming units/mL.,3200,,225,60302,RR,C,1.41,3.33,4.48,8.66,2.2538,24,0.22,0.01,24000,14.55074678538324,0,35.1,32.5,33.8,35.1,32.8,33.7,2,25,60302.0CRR,Contagious,Positive,3.5052856741441323,2.6000000000000014,2.6000000000000014
22,Staphylococcus aureus,Staphylococcus chromogenes,,,Colony Count: 9900 colony forming units/mL.,9900,,20,60319,LF,T ,1.13,3.7,4.24,8.76,9.32119,189,-0.48,0.01,189000,17.52802670888316,0,34.1,33.1,33.58,35.4,31.9,33.79,2,0,60319.0T LF,Contagious,Positive,3.9956790605116224,1.0,1.0
23,Staphylococcus aureus,Staphylococcus chromogenes,,,Colony Count: 9900 colony forming units/mL.,9900,,20,60319,LR,T ,1.01,3.85,4.66,9.36,9.12352,129,-0.51,0.02,129000,16.97701154008534,0,35.6,33.7,34.97,35.6,29.5,34.2,2,0,60319.0T LR,Contagious,Positive,3.9956790605116224,1.8999999999999986,1.8999999999999986
24,Staphylococcus aureus,Staphylococcus chromogenes,,,Colony Count: 9900 colony forming units/mL.,9900,,20,60319,RF,T ,1.01,3.69,4.36,8.88,9.04076,172,-0.49,0.0,172000,17.39204903936418,0,35.6,31.0,34.8,35.8,33.0,35.04,2,0,60319.0T RF,Contagious,Positive,3.9956790605116224,4.600000000000001,4.600000000000001
25,Staphylococcus aureus,Staphylococcus chromogenes,,,Colony Count: 9900 colony forming units/mL.,9900,,20,60319,RR,T ,1.22,3.67,4.31,8.81,9.4179,617,-0.47,0.01,617000,19.2349109638115,1,35.8,31.5,33.49,36.4,31.0,34.02,2,0,60319.0T RR,Contagious,Positive,3.9956790605116224,4.299999999999997,4.299999999999997
26,Staphylococcus chromogenes,Corynebacterium xerosis,,,Colony Count: 300 CFU/ml,300,,410,60320,LF,T,4.03,3.65,4.16,8.59,18.36867,9999,0.04,0.03,9999000,23.25335238749349,1,33.3,32.6,33.02,33.3,30.6,32.72,4,10,60320.0TLF,Environmental,Positive,2.4785664955938436,0.6999999999999957,0.6999999999999957
27,Staphylococcus chromogenes,Corynebacterium xerosis,,,Colony Count: 300 CFU/ml,300,,410,60320,LR,T,2.2,3.76,4.9,9.52,20.8332,110,-0.11,0.04,110000,16.74714399818675,0,33.5,31.8,32.87,33.6,28.7,32.02,4,10,60320.0TLR,Environmental,Positive,2.4785664955938436,1.6999999999999993,1.6999999999999993
28,Staphylococcus chromogenes,Corynebacterium xerosis,,,Colony Count: 300 CFU/ml,300,,410,60320,RF,T,0.35,3.8,4.86,9.5,21.52855,14,-0.37,0.02,14000,13.77313920671969,0,34.9,34.1,34.55,34.9,28.8,33.84,4,10,60320.0TRF,Environmental,Positive,2.4785664955938436,0.7999999999999972,0.7999999999999972
29,Staphylococcus chromogenes,Corynebacterium xerosis,,,Colony Count: 300 CFU/ml,300,,410,60320,RR,T,1.92,3.79,4.89,9.53,19.96073,1,-0.17,0.04,1000,9.965784284662087,0,33.7,31.8,33.16,33.8,28.3,32.45,4,10,60320.0TRR,Environmental,Positive,2.4785664955938436,1.9000000000000021,1.9000000000000021
30,Staphylococcus aureus,Corynebacterium xerosis,Bacillus sp.,Staphylococcus xylosus,Colony Count: 200 CFU/ml,200,,310,60339,LF,C,3.26,3.69,4.67,9.24,14.17569,70,0.45,0.06,70000,16.09506730160705,0,34.6,34.3,34.48,35.4,32.0,34.06,3,10,60339.0CLF,Contagious,Positive,2.303196057420489,0.30000000000000426,0.30000000000000426
31,Staphylococcus aureus,Corynebacterium xerosis,Bacillus sp.,Staphylococcus xylosus,Colony Count: 200 CFU/ml,200,,310,60339,LR,C,3.54,3.1,2.42,6.19,17.67587,9390,0.16,-0.08,9390000,23.16269372720322,1,34.0,33.6,33.76,35.3,32.8,34.18,3,10,60339.0CLR,Contagious,Positive,2.303196057420489,0.3999999999999986,0.3999999999999986
32,Staphylococcus aureus,Corynebacterium xerosis,Bacillus sp.,Staphylococcus xylosus,Colony Count: 200 CFU/ml,200,,310,60339,RF,C,4.09,3.54,4.49,8.88,15.04208,135,0.64,0.06,135000,17.04259988171292,0,34.7,34.5,34.6,34.8,34.5,34.6,3,10,60339.0CRF,Contagious,Positive,2.303196057420489,0.20000000000000284,0.20000000000000284
33,Staphylococcus aureus,Corynebacterium xerosis,Bacillus sp.,Staphylococcus xylosus,Colony Count: 200 CFU/ml,200,,310,60339,RR,C,5.38,3.5,4.51,8.89,15.89792,322,0.86,0.07,322000,18.2967011627767,1,34.5,34.2,34.42,35.2,32.9,34.05,3,10,60339.0CRR,Contagious,Positive,2.303196057420489,0.29999999999999716,0.29999999999999716
34,Staphylococcus aureus,Corynebacterium xerosis,Staphylococcus chromogenes,,Colony Count: 100 CFU/ml,100,,325,60339,LF,C,1.72,3.9,4.8,9.54,13.41956,11,-0.23,0.04,11000,13.42521590329939,0,32.8,32.0,32.44,33.1,28.6,31.76,3,25,60339.0CLF,Contagious,Positive,2.0043213737826426,0.7999999999999972,0.7999999999999972
35,Staphylococcus aureus,Corynebacterium xerosis,Staphylococcus chromogenes,,Colony Count: 100 CFU/ml,100,,325,60339,LR,C,1.24,3.64,3.46,7.81,14.06548,5470,-0.53,-0.03,5470000,22.38310940234201,1,31.6,31.0,31.34,32.3,24.5,31.13,3,25,60339.0CLR,Contagious,Positive,2.0043213737826426,0.6000000000000014,0.6000000000000014
36,Staphylococcus aureus,Corynebacterium xerosis,Staphylococcus chromogenes,,Colony Count: 100 CFU/ml,100,,325,60339,RF,C,1.04,3.99,4.72,9.54,12.17254,17,-0.39,0.03,17000,14.05324712591243,0,33.7,32.9,33.4,33.7,32.9,33.4,3,25,60339.0CRF,Contagious,Positive,2.0043213737826426,0.8000000000000043,0.8000000000000043
37,Staphylococcus aureus,Corynebacterium xerosis,Staphylococcus chromogenes,,Colony Count: 100 CFU/ml,100,,325,60339,RR,C,1.59,4.05,4.71,9.59,11.4699,96,-0.35,0.05,96000,16.55074678538324,0,32.1,31.6,31.89,32.5,30.5,31.51,3,25,60339.0CRR,Contagious,Positive,2.0043213737826426,0.5,0.5
38,Enterococcus sp.,Serratia marcescens,,,Colony Count: 300 CFU/ml; Enterococcus devriesei,300,,40,60459,LF,LT,2.02,3.26,4.56,8.69,12.50866,65,0.37,0.02,65000,15.98815209769054,0,34.7,30.9,33.3,35.3,31.6,33.8,4,0,60459.0LTLF,Environmental,Positive,2.4785664955938436,3.8000000000000043,3.8000000000000043
39,Enterococcus sp.,Serratia marcescens,,,Colony Count: 300 CFU/ml; Enterococcus devriesei,300,,40,60459,LR,LT,1.77,3.26,4.55,8.68,12.29187,28,0.27,0.01,28000,14.77313920671969,0,34.6,28.7,33.7,34.8,31.8,34.0,4,0,60459.0LTLR,Environmental,Positive,2.4785664955938436,5.900000000000002,5.900000000000002
40,Enterococcus sp.,Serratia marcescens,,,Colony Count: 300 CFU/ml; Enterococcus devriesei,300,,40,60459,RF,LT,2.41,3.3,4.15,8.28,10.87391,3296,0.09,0.02,3296000,21.65228481184531,1,36.1,32.7,34.6,36.1,33.8,34.8,4,0,60459.0LTRF,Environmental,Positive,2.4785664955938436,3.3999999999999986,3.3999999999999986
41,Enterococcus sp.,Serratia marcescens,,,Colony Count: 300 CFU/ml; Enterococcus devriesei,300,,40,60459,RR,LT,1.72,3.27,4.56,8.7,12.90103,211,0.23,0.01,211000,17.68688347336927,0,35.0,29.7,34.0,35.6,29.7,34.2,4,0,60459.0LTRR,Environmental,Positive,2.4785664955938436,5.300000000000001,5.300000000000001
42,Aerococcus viridans,,,,Colony Count: 400 CFU/ml,400,,410,60459,LF,LT,1.96,3.08,4.43,8.34,17.03735,117,0.37,0.03,117000,16.83614900424549,0,33.7,32.4,33.24,33.7,31.6,32.85,4,10,60459.0LTLF,Environmental,Positive,2.603144372620182,1.3000000000000043,1.3000000000000043
43,Aerococcus viridans,,,,Colony Count: 400 CFU/ml,400,,410,60459,LR,LT,1.93,3.11,4.53,8.48,17.17129,98,0.32,0.04,98000,16.5804941287773,0,32.5,32.0,32.27,33.1,29.0,31.91,4,10,60459.0LTLR,Environmental,Positive,2.603144372620182,0.5,0.5
44,Aerococcus viridans,,,,Colony Count: 400 CFU/ml,400,,410,60459,RF,LT,1.68,3.05,3.41,7.19,14.83245,7859,0.0,0.01,7859000,22.90591432114353,1,34.3,33.7,34.04,32.9,29.2,31.88,4,10,60459.0LTRF,Environmental,Positive,2.603144372620182,0.5999999999999943,0.5999999999999943
45,Aerococcus viridans,,,,Colony Count: 400 CFU/ml,400,,410,60459,RR,LT,1.86,3.1,4.52,8.45,16.80226,153,0.31,0.04,153000,17.22317212735474,0,32.9,32.3,32.66,34.3,32.3,33.58,4,10,60459.0LTRR,Environmental,Positive,2.603144372620182,0.6000000000000014,0.6000000000000014
50,Staphylococcus aureus,Macrococcus sp.,,,"Colony Count: 6,300 CFU/ml",6300,,310,60480,RF,T,0.45,3.15,4.64,8.69,12.04736,227,0.2,0.03,227000,17.792332771953,0,35.1,34.4,34.73,35.2,33.1,33.98,3,10,60480.0TRF,Contagious,Positive,3.799409479615127,0.7000000000000028,0.7000000000000028
51,Staphylococcus aureus,Macrococcus sp.,,,"Colony Count: 6,300 CFU/ml",6300,,310,60480,RR,T,1.95,2.84,3.94,7.61,11.51746,757,0.49,0.02,757000,19.52993377464782,1,33.5,32.9,33.19,34.2,30.8,33.1,3,10,60480.0TRR,Contagious,Positive,3.799409479615127,0.6000000000000014,0.6000000000000014
52,Staphylococcus aureus,,,,"Colony Count: 7,600 CFU/ml",7600,,325,60480,LF,T,1.78,3.22,3.61,7.58,11.77858,4019,-0.31,-0.02,4019000,21.93840514672083,1,34.8,34.1,34.42,37.1,31.7,35.25,3,25,60480.0TLF,Contagious,Positive,3.8808707325324234,0.6999999999999957,0.6999999999999957
53,Staphylococcus aureus,,,,"Colony Count: 7,600 CFU/ml",7600,,325,60480,LR,T,1.51,3.14,2.9,6.72,10.4975,9999,-0.44,-0.1,9999000,23.25335238749349,1,36.0,34.5,35.35,36.7,33.4,35.43,3,25,60480.0TLR,Contagious,Positive,3.8808707325324234,1.5,1.5
54,Staphylococcus aureus,,,,"Colony Count: 7,600 CFU/ml",7600,,325,60480,RF,T,1.33,3.37,4.6,8.81,10.58917,613,-0.19,0.02,613000,19.22552754835287,1,36.6,35.9,36.37,38.3,32.7,36.5,3,25,60480.0TRF,Contagious,Positive,3.8808707325324234,0.7000000000000028,0.7000000000000028
55,Staphylococcus aureus,,,,"Colony Count: 7,600 CFU/ml",7600,,325,60480,RR,T,2.4,3.21,4.39,8.43,11.01456,429,0.16,0.01,429000,18.71061812216163,1,35.4,34.9,35.19,36.2,32.6,34.85,3,25,60480.0TRR,Contagious,Positive,3.8808707325324234,0.5,0.5
56,,Staphylococcus chromogenes,,,Colony Count: 1000 colony forming units/mL.,1000,,20,60532,LR,T ,3.85,4.03,4.71,9.59,8.89622,614,0.03,0.05,614000,19.22787913003227,1,33.9,27.1,31.74,34.3,25.8,31.73,2,0,60532.0T LR,,,3.000434077479319,6.799999999999997,6.799999999999997
57,,Staphylococcus chromogenes,,,Colony Count: 1000 colony forming units/mL.,1000,,20,60532,RF,T ,1.47,4.05,4.79,9.71,9.60047,214,-0.4,0.04,214000,17.70725127106324,0,34.9,33.5,34.31,35.4,29.7,34.46,2,0,60532.0T RF,,,3.000434077479319,1.3999999999999986,1.3999999999999986
58,,Staphylococcus chromogenes,,,Colony Count: 1000 colony forming units/mL.,1000,,20,60532,RR,T ,3.07,4.06,4.86,9.79,8.80877,170,-0.09,0.05,170000,17.37517522079979,0,33.8,29.2,32.56,33.8,29.3,32.73,2,0,60532.0T RR,,,3.000434077479319,4.599999999999998,4.599999999999998
59,Staphylococcus chromogenes,Staphylococcus haemolyticus,,,Colony Count: 500 colony forming units/mL.,500,,225,60532,LF,T ,1.22,3.66,5.08,9.65,5.97906,1,0.21,0.03,1000,9.965784284662087,0,32.1,30.6,31.4,34.3,32.0,33.5,2,25,60532.0T LF,Environmental,Positive,2.699837725867246,1.5,1.5
60,Staphylococcus chromogenes,Staphylococcus haemolyticus,,,Colony Count: 500 colony forming units/mL.,500,,225,60532,LR,T ,2.43,3.28,3.51,7.55,6.55363,9261,0.18,0.0,9261000,23.14273655299837,1,34.8,32.1,34.3,32.3,29.3,31.3,2,25,60532.0T LR,Environmental,Positive,2.699837725867246,2.6999999999999957,2.6999999999999957
61,Staphylococcus chromogenes,Staphylococcus haemolyticus,,,Colony Count: 500 colony forming units/mL.,500,,225,60532,RF,T ,1.4,3.51,4.76,9.16,5.36867,258,0.2,0.03,258000,17.97701154008534,1,31.9,29.7,31.2,35.0,31.7,33.1,2,25,60532.0T RF,Environmental,Positive,2.699837725867246,2.1999999999999993,2.1999999999999993
62,Staphylococcus chromogenes,Staphylococcus haemolyticus,,,Colony Count: 500 colony forming units/mL.,500,,225,60532,RR,T ,2.55,3.55,4.82,9.26,3.8743,601,0.38,0.05,601000,19.19700546537327,1,35.1,33.1,34.6,32.8,29.5,31.6,2,25,60532.0T RR,Environmental,Positive,2.699837725867246,2.0,2.0
63,Staphylococcus chromogenes,Streptococcus sp. Alpha-Hemolytic,,,"Colony Count: 3,300 CFU/ml",3300,,310,60631,LF,T,1.65,3.27,4.69,8.86,11.34177,816,-0.06,0.03,816000,19.63820962663359,1,33.8,33.3,33.47,34.6,29.5,32.61,3,10,60631.0TLF,Environmental,Positive,3.5186455243303114,0.5,0.5
64,Staphylococcus chromogenes,Streptococcus sp. Alpha-Hemolytic,,,"Colony Count: 3,300 CFU/ml",3300,,310,60631,LR,T,0.78,3.32,4.97,9.21,12.55615,169,-0.11,0.01,169000,17.36666372094427,0,33.7,33.0,33.27,35.1,28.5,33.21,3,10,60631.0TLR,Environmental,Positive,3.5186455243303114,0.7000000000000028,0.7000000000000028
65,Staphylococcus chromogenes,Streptococcus sp. Alpha-Hemolytic,,,"Colony Count: 3,300 CFU/ml",3300,,310,60631,RF,T,1.47,3.16,4.95,9.04,11.38175,34,0.08,0.01,34000,15.05324712591243,0,36.0,35.4,35.71,36.1,33.6,35.25,3,10,60631.0TRF,Environmental,Positive,3.5186455243303114,0.6000000000000014,0.6000000000000014
66,Staphylococcus chromogenes,Streptococcus sp. Alpha-Hemolytic,,,"Colony Count: 3,300 CFU/ml",3300,,310,60631,RR,T,0.97,3.27,4.91,9.09,11.39183,111,0.05,0.01,111000,16.7602001510122,0,33.8,32.9,33.32,34.0,30.1,32.42,3,10,60631.0TRR,Environmental,Positive,3.5186455243303114,0.8999999999999986,0.8999999999999986
67,Corynebacterium bovis,Staphylococcus chromogenes,,,Colony Count: 800 CFU/ml,800,,325,60631,LF,T,0.85,3.27,4.75,8.87,18.50771,77,-0.33,0.0,77000,16.23257082535699,0,35.5,34.9,35.25,35.5,32.3,34.41,3,25,60631.0TLF,Contagious,Positive,2.9036325160842376,0.6000000000000014,0.6000000000000014
68,Corynebacterium bovis,Staphylococcus chromogenes,,,Colony Count: 800 CFU/ml,800,,325,60631,LR,T,0.55,3.41,4.82,9.08,17.48702,27,-0.5,0.01,27000,14.72067178682556,0,35.2,34.7,34.98,35.8,28.4,34.53,3,25,60631.0TLR,Contagious,Positive,2.9036325160842376,0.5,0.5
69,Corynebacterium bovis,Staphylococcus chromogenes,,,Colony Count: 800 CFU/ml,800,,325,60631,RF,T,1.68,3.3,4.4,8.52,15.32909,1517,-0.38,0.02,1517000,20.53278965490912,1,35.0,33.9,34.58,36.5,32.3,34.92,3,25,60631.0TRF,Contagious,Positive,2.9036325160842376,1.1000000000000014,1.1000000000000014
70,Corynebacterium bovis,Staphylococcus chromogenes,,,Colony Count: 800 CFU/ml,800,,325,60631,RR,T,0.68,3.35,4.77,8.97,17.54117,75,-0.42,0.0,75000,16.19460297515797,0,34.7,34.0,34.3,36.3,30.7,34.68,3,25,60631.0TRR,Contagious,Positive,2.9036325160842376,0.7000000000000028,0.7000000000000028
71,Staphylococcus hyicus,Mixed Bacterial Growth,,,"Colony Count: 2,500 CFU/ml",2500,,40,60654,LF,LT,1.0,3.4,4.33,8.58,14.73926,847,-0.21,0.01,847000,19.69200244399429,1,33.3,30.5,32.2,33.3,31.0,32.5,4,0,60654.0LTLF,Environmental,Positive,3.3981136917305026,2.799999999999997,2.799999999999997
72,Staphylococcus hyicus,Mixed Bacterial Growth,,,"Colony Count: 2,500 CFU/ml",2500,,40,60654,LR,LT,0.64,3.02,4.75,8.68,14.85418,45,0.16,0.0,45000,15.45763738099176,0,33.4,31.0,32.8,33.4,32.1,33.0,4,0,60654.0LTLR,Environmental,Positive,3.3981136917305026,2.3999999999999986,2.3999999999999986
73,Staphylococcus hyicus,Mixed Bacterial Growth,,,"Colony Count: 2,500 CFU/ml",2500,,40,60654,RF,LT,0.66,3.12,4.59,8.6,13.78708,286,-0.03,0.01,286000,18.12565562144048,1,35.7,32.1,34.1,35.1,32.9,34.2,4,0,60654.0LTRF,Environmental,Positive,3.3981136917305026,3.6000000000000014,3.6000000000000014
74,Staphylococcus hyicus,Mixed Bacterial Growth,,,"Colony Count: 2,500 CFU/ml",2500,,40,60654,RR,LT,0.59,3.03,4.74,8.68,14.90677,13,0.15,0.01,13000,13.66622400280318,0,33.4,30.7,32.5,33.8,30.8,32.9,4,0,60654.0LTRR,Environmental,Positive,3.3981136917305026,2.6999999999999993,2.6999999999999993
79,Staphylococcus hyicus,Staphylococcus chromogenes,,,"Colony Count: 2,000 CFU/ml",2000,,425,60654,LF,LT,3.27,4.09,3.16,7.93,13.18228,5896,-0.35,0.01,5896000,22.49130509375716,1,31.8,30.0,30.8,31.8,30.0,30.8,4,25,60654.0LTLF,Environmental,Positive,3.3012470886362113,1.8000000000000007,1.8000000000000007
80,Staphylococcus hyicus,Staphylococcus chromogenes,,,"Colony Count: 2,000 CFU/ml",2000,,425,60654,LR,LT,1.2,3.39,4.46,8.71,12.62662,116,-0.06,0.03,116000,16.82376527978966,0,31.2,29.9,30.7,31.2,30.0,30.7,4,25,60654.0LTLR,Environmental,Positive,3.3012470886362113,1.3000000000000007,1.3000000000000007
81,Staphylococcus hyicus,Staphylococcus chromogenes,,,"Colony Count: 2,000 CFU/ml",2000,,425,60654,RF,LT,1.38,3.31,4.34,8.5,12.38957,771,-0.12,0.04,771000,19.55637133457712,1,32.7,30.4,31.4,32.9,30.1,31.2,4,25,60654.0LTRF,Environmental,Positive,3.3012470886362113,2.3000000000000043,2.3000000000000043
82,Staphylococcus hyicus,Staphylococcus chromogenes,,,"Colony Count: 2,000 CFU/ml",2000,,425,60654,RR,LT,1.06,3.42,4.51,8.79,12.58391,47,-0.1,0.03,47000,15.52037313633973,0,30.9,29.3,30.0,31.5,29.1,30.2,4,25,60654.0LTRR,Environmental,Positive,3.3012470886362113,1.5999999999999979,1.5999999999999979
83,Staphylococcus chromogenes,,,,Colony Count: 700 colony forming units/mL.,700,,110,60685,LF,C,2.4,3.94,4.81,9.63,7.03844,475,0.03,0.09,475000,18.8575679878804,1,36.0,34.5,35.67,36.0,32.3,35.28,1,10,60685.0CLF,Environmental,Positive,2.8457180179666586,1.5,1.5
84,Staphylococcus chromogenes,,,,Colony Count: 700 colony forming units/mL.,700,,110,60685,LR,C,2.1,4.0,4.75,9.62,7.4611,2520,-0.06,0.09,2520000,21.26499230304937,1,35.6,33.3,33.56,33.9,33.3,33.56,1,10,60685.0CLR,Environmental,Positive,2.8457180179666586,2.3000000000000043,2.3000000000000043
